"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-10",238,1.054
"WHI-B-10",239,1.052
"WHI-B-10",240,1.049
"WHI-B-10",241,1.046
"WHI-B-10",242,1.045
"WHI-B-10",243,1.043
"WHI-B-10",244,1.042
"WHI-B-10",245,1.04
"WHI-B-10",246,1.038
"WHI-B-10",247,1.037
"WHI-B-10",248,1.036
"WHI-B-10",249,1.034
"WHI-B-10",250,1.033
"WHI-B-10",251,1.033
"WHI-B-10",252,1.031
"WHI-B-10",253,1.029
"WHI-B-10",254,1.025
"WHI-B-10",255,1.024
"WHI-B-10",256,1.02
"WHI-B-10",257,1.016
"WHI-B-10",258,1.011
"WHI-B-10",259,1.005
"WHI-B-10",260,0.999
"WHI-B-10",261,0.992
"WHI-B-10",262,0.983
"WHI-B-10",263,0.975
"WHI-B-10",264,0.964
"WHI-B-10",265,0.952
"WHI-B-10",266,0.94
"WHI-B-10",267,0.926
"WHI-B-10",268,0.911
"WHI-B-10",269,0.896
"WHI-B-10",270,0.88
"WHI-B-10",271,0.861
"WHI-B-10",272,0.843
"WHI-B-10",273,0.823
"WHI-B-10",274,0.804
"WHI-B-10",275,0.784
"WHI-B-10",276,0.764
"WHI-B-10",277,0.743
"WHI-B-10",278,0.723
"WHI-B-10",279,0.702
"WHI-B-10",280,0.682
"WHI-B-10",281,0.662
"WHI-B-10",282,0.642
"WHI-B-10",283,0.623
"WHI-B-10",284,0.605
"WHI-B-10",285,0.587
"WHI-B-10",286,0.569
"WHI-B-10",287,0.552
"WHI-B-10",288,0.536
"WHI-B-10",289,0.521
"WHI-B-10",290,0.507
"WHI-B-10",291,0.495
"WHI-B-10",292,0.482
"WHI-B-10",293,0.471
"WHI-B-10",294,0.461
"WHI-B-10",295,0.451
"WHI-B-10",296,0.441
"WHI-B-10",297,0.433
"WHI-B-10",298,0.425
"WHI-B-10",299,0.417
"WHI-B-10",300,0.409
"WHI-B-10",301,0.403
"WHI-B-10",302,0.396
"WHI-B-10",303,0.389
"WHI-B-10",304,0.383
"WHI-B-10",305,0.377
"WHI-B-10",306,0.371
"WHI-B-10",307,0.364
"WHI-B-10",308,0.359
"WHI-B-10",309,0.354
"WHI-B-10",310,0.347
"WHI-B-10",311,0.342
"WHI-B-10",312,0.337
"WHI-B-10",313,0.332
"WHI-B-10",314,0.327
"WHI-B-10",315,0.321
"WHI-B-10",316,0.316
"WHI-B-10",317,0.311
"WHI-B-10",318,0.306
"WHI-B-10",319,0.302
"WHI-B-10",320,0.297
"WHI-B-10",321,0.292
"WHI-B-10",322,0.287
"WHI-B-10",323,0.282
"WHI-B-10",324,0.278
"WHI-B-10",325,0.273
"WHI-B-10",326,0.268
"WHI-B-10",327,0.264
"WHI-B-10",328,0.259
"WHI-B-10",329,0.255
"WHI-B-10",330,0.25
"WHI-B-10",331,0.246
"WHI-B-10",332,0.241
