"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"HAW-B-4","HAW-B-4","Haweswater","Bracken",10,139,28,10,0,8,1,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,200,204,91.6666666666667,6.37254901960784,1.9607843137255,0.000196349540849362,101.859163578813,39.8,502.51256281407,25.1256281407035,349.246231155779,70.3517587939699,25.1256281407035,20.1005025125628,2.51256281407035,0,10.0502512562814
"HAW-B-5","HAW-B-5","Haweswater","Bracken",15,88,40,10,2,14,0,5,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,174,181,84.5303867403315,11.6022099447514,3.86740331491713,0.000196349540849362,88.6174723135673,54.6,318.681318681319,27.4725274725275,161.172161172161,73.2600732600733,18.3150183150183,25.6410256410256,0,3.66300366300366,9.15750915750916
"HAW-B-6","HAW-B-6","Haweswater","Bracken",13,100,3,10,4,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,90.6474820143885,9.35251798561151,0,0.000196349540849362,70.792118687275,105.3,132.003798670465,12.3456790123457,94.9667616334283,2.84900284900285,9.49667616334283,0.949667616334283,6.64767331433998,3.79867046533713,0.949667616334283
"HAW-B-7","HAW-B-7","Haweswater","Bracken",23,154,34,8,6,14,31,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,272,274,79.9270072992701,19.3430656934307,0.729927007299267,0.000196349540849362,138.528462467186,59.3,458.684654300169,38.7858347386172,259.696458684654,57.3355817875211,13.4907251264755,23.6087689713322,52.2765598650928,10.1180438448567,3.37268128161889
"HAW-B-8","HAW-B-8","Haweswater","Bracken",20,125,60,21,1,21,10,3,1,1,0,2,0,0,0,1,0,2,0,0,0,0,0,1,261,269,84.0148698884758,13.0111524163569,2.97397769516728,0.000196349540849362,132.926208470351,66.7,391.304347826087,29.9850074962519,187.406296851574,89.9550224887556,31.4842578710645,31.4842578710645,14.9925037481259,1.49925037481259,4.49775112443778
"HAW-B-9","HAW-B-9","Haweswater","Bracken",14,28,15,14,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,88.75,11.25,0,0.000196349540849362,40.7436654315252,32.5,246.153846153846,43.0769230769231,86.1538461538462,46.1538461538462,43.0769230769231,12.3076923076923,12.3076923076923,0,3.07692307692308
"HAW-H-1","HAW-H-1","Haweswater","Heather",8,151,25,28,1,30,5,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,248,254,83.4645669291339,14.1732283464567,2.36220472440945,0.000196349540849362,126.305362837728,39,635.897435897436,20.5128205128205,387.179487179487,64.1025641025641,71.7948717948718,76.9230769230769,12.8205128205128,2.56410256410256,0
"HAW-H-10","HAW-H-10","Haweswater","Heather",14,40,68,16,0,29,169,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,337,339,40.7079646017699,58.7020648967552,0.589970501474923,0.000196349540849362,171.6326906303,36.1,933.518005540166,38.781163434903,110.803324099723,188.365650969529,44.3213296398892,80.3324099722992,468.14404432133,0,2.77008310249307
"HAW-H-2","HAW-H-2","Haweswater","Heather",12,50,41,10,0,72,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,194,195,57.948717948718,41.5384615384615,0.512820512820504,0.000196349540849362,98.8033886714486,43.9,441.913439635535,27.3348519362187,113.895216400911,93.3940774487472,22.7790432801822,164.009111617312,20.501138952164,0,0
"HAW-H-3","HAW-H-3","Haweswater","Heather",8,57,40,25,1,31,108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,270,271,47.9704797047971,51.6605166051661,0.369003690036898,0.000196349540849362,137.509870831398,66.9,403.587443946188,11.9581464872945,85.2017937219731,59.7907324364723,37.3692077727952,46.3378176382661,161.434977578475,1.49476831091181,0
"HAW-H-4","HAW-H-4","Haweswater","Heather",15,23,50,29,6,220,85,14,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,452,25.8849557522124,71.9026548672566,2.21238938053098,0.000196349540849362,225.108751509177,71.2,620.786516853933,21.0674157303371,32.3033707865169,70.2247191011236,40.7303370786517,308.988764044944,119.38202247191,8.42696629213483,19.6629213483146
"HAW-H-5","HAW-H-5","Haweswater","Heather",12,25,17,1,2,1,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,67,82.089552238806,11.9402985074627,5.97014925373134,0.000196349540849362,32.0856365273261,50.6,124.505928853755,23.7154150197628,49.4071146245059,33.596837944664,1.97628458498024,1.97628458498024,7.90513833992095,3.95256916996047,1.97628458498024
"HAW-H-6","HAW-H-6","Haweswater","Heather",7,27,63,29,5,358,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,555,556,22.6618705035971,77.158273381295,0.179856115107917,0.000196349540849362,282.659178931206,37.2,1491.93548387097,18.8172043010753,72.5806451612903,169.354838709677,77.9569892473118,962.365591397849,169.354838709677,13.4408602150538,8.06451612903226
"HAW-H-7","HAW-H-7","Haweswater","Heather",4,149,51,18,0,31,26,3,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,282,288,77.0833333333333,20.8333333333333,2.08333333333331,0.000196349540849362,143.621420646126,46.6,605.150214592275,8.58369098712446,319.742489270386,109.442060085837,38.6266094420601,66.5236051502146,55.793991416309,0,6.43776824034335
"HAW-H-8","HAW-H-8","Haweswater","Heather",7,110,47,20,0,38,29,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,258,71.3178294573643,27.5193798449612,1.16279069767442,0.000196349540849362,129.870433562987,47.7,534.591194968553,14.6750524109015,230.607966457023,98.5324947589098,41.9287211740042,79.6645702306079,60.7966457023061,0,8.38574423480084
"HAW-H-9","HAW-H-9","Haweswater","Heather",12,159,42,10,2,11,27,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,265,269,82.8996282527881,15.6133828996283,1.48698884758365,0.000196349540849362,134.963391741927,57,464.912280701754,21.0526315789474,278.947368421053,73.6842105263158,17.5438596491228,19.2982456140351,47.3684210526316,3.50877192982456,3.50877192982456
"SWM-B-1","SWM-B-1","Scarth Wood Moor","Bracken",3,24,11,40,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,93.9759036144578,6.02409638554217,0,0.000196349540849362,42.2715528852074,181.2,45.8057395143488,1.65562913907285,13.2450331125828,6.07064017660044,22.075055187638,2.2075055187638,0.551876379690949,0,0
"SWM-B-10","SWM-B-10","Scarth Wood Moor","Bracken",2,6,8,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,27,74.0740740740741,3.7037037037037,22.2222222222222,0.000196349540849362,10.6952121757754,114.8,18.2926829268293,1.74216027874564,5.22648083623693,6.96864111498258,3.48432055749129,0.871080139372822,0,0,0
"SWM-B-2","SWM-B-2","Scarth Wood Moor","Bracken",18,100,14,14,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,156,160,91.25,6.25,2.5,0.000196349540849362,79.4501475914741,42.8,364.485981308411,42.0560747663551,233.644859813084,32.7102803738318,32.7102803738318,18.6915887850467,4.67289719626168,0,0
